audio_file,language,filter_method,sensitive_words_count,audio_duration,total_time,real_time_factor,memory_used,segments_count,filtered_words_count,success,test_case,word_set,length_category
【课外侦探组1】第11章，比赛、探案两不误_2.mp3,zh,trie_tree,3,344.44,49.82398247718811,0.1446521381871679,-5.80859375,177,29,True,word_set_size,small,
【课外侦探组1】第11章，比赛、探案两不误_2.mp3,zh,replace,3,344.44,47.770427942276,0.13869012873730113,7.3125,177,29,True,word_set_size,small,
【课外侦探组1】第11章，比赛、探案两不误_2.mp3,zh,regular_expression,3,344.44,47.29785203933716,0.1373181164769979,12.5625,177,29,True,word_set_size,small,
【课外侦探组1】第11章，比赛、探案两不误_2.mp3,zh,DFA,10,344.44,47.47003746032715,0.1378180160850283,-11.9609375,177,30,True,word_set_size,medium,
【课外侦探组1】第11章，比赛、探案两不误_2.mp3,zh,aho_corasick,10,344.44,47.3608193397522,0.13750092712737255,-13.19140625,177,30,True,word_set_size,medium,
【课外侦探组1】第11章，比赛、探案两不误_2.mp3,zh,trie_tree,10,344.44,47.26364612579346,0.13721880770466108,14.76953125,177,30,True,word_set_size,medium,
【课外侦探组1】第11章，比赛、探案两不误_2.mp3,zh,replace,10,344.44,47.43827676773071,0.1377258064328496,-7.16015625,177,30,True,word_set_size,medium,
【课外侦探组1】第11章，比赛、探案两不误_2.mp3,zh,regular_expression,10,344.44,47.510791301727295,0.1379363352157917,4.3984375,177,30,True,word_set_size,medium,
【课外侦探组1】第11章，比赛、探案两不误_2.mp3,zh,DFA,50,344.44,48.00992178916931,0.1393854424258777,-0.3515625,177,38,True,word_set_size,large,
【课外侦探组1】第11章，比赛、探案两不误_2.mp3,zh,aho_corasick,50,344.44,48.521982192993164,0.14087208858725225,1.4375,177,38,True,word_set_size,large,
【课外侦探组1】第11章，比赛、探案两不误_2.mp3,zh,trie_tree,50,344.44,47.78015995025635,0.1387183833185935,-1.76171875,177,38,True,word_set_size,large,
【课外侦探组1】第11章，比赛、探案两不误_2.mp3,zh,replace,50,344.44,47.54975438117981,0.13804945529317098,2.48828125,177,38,True,word_set_size,large,
【课外侦探组1】第11章，比赛、探案两不误_2.mp3,zh,regular_expression,50,344.44,48.48122239112854,0.14075375215169128,-3.1953125,177,38,True,word_set_size,large,
【课外侦探组1】第12章，校运会上的重大发现_1.mp3,zh,DFA,3,300.32,36.20771098136902,0.12056376858473968,-9.171875,147,15,True,word_set_size,small,
【课外侦探组1】第12章，校运会上的重大发现_1.mp3,zh,aho_corasick,3,300.32,36.115484952926636,0.12025667605529647,-3.25,147,15,True,word_set_size,small,
【课外侦探组1】第12章，校运会上的重大发现_1.mp3,zh,trie_tree,3,300.32,36.18988800048828,0.12050442195154595,7.41796875,147,15,True,word_set_size,small,
【课外侦探组1】第12章，校运会上的重大发现_1.mp3,zh,replace,3,300.32,36.35043978691101,0.12103902433041759,-13.9296875,147,15,True,word_set_size,small,
【课外侦探组1】第12章，校运会上的重大发现_1.mp3,zh,regular_expression,3,300.32,36.23578929901123,0.12065726324923826,-1.5,147,15,True,word_set_size,small,
【课外侦探组1】第12章，校运会上的重大发现_1.mp3,zh,DFA,10,300.32,36.201807498931885,0.12054411127774337,18.3984375,147,19,True,word_set_size,medium,
【课外侦探组1】第12章，校运会上的重大发现_1.mp3,zh,aho_corasick,10,300.32,36.10319209098816,0.1202157435102163,9.32421875,147,19,True,word_set_size,medium,
【课外侦探组1】第12章，校运会上的重大发现_1.mp3,zh,trie_tree,10,300.32,36.53216052055359,0.12164411467952048,-17.53125,147,19,True,word_set_size,medium,
